Browser,Average Score,video,animation,js_computation,webpage,multiple_tabs
Vivaldi,78.24310907164855,100.0,54.37262357414442,100.0,62.11764705882359,74.72527472527472
Brave,68.18067346877295,56.75675675675678,30.418250950570474,80.08130081300806,73.64705882352945,100.0
Opera,61.98002891030147,59.45945945945933,99.99999999999999,77.23577235772349,36.941176470588275,36.263736263736284
Edge,52.92808092904327,71.35135135135158,32.69961977186306,95.52845528455288,45.6470588235294,19.413919413919427
Chromium,36.735719304577664,10.810810810810613,10.2661596958176,62.601626016260106,100.0,0.0
Firefox,32.23501343653434,37.29729729729729,71.86311787072239,0.0,0.0,52.014652014652
Chrome,22.57664822026371,0.0,0.0,57.72357723577241,26.588235294117563,28.571428571428573
